animal;group;selection_position;z.session_relative;session;trials;selection;estimate
alw;alwcla;left;-1.238979894;1;2196;pictures;0.03
alw;alwcla;left;-1.238979894;1;2196;static;0.79
alw;alwcla;left;-1.238979894;1;2196;dynamic;0.18
alw;alwcla;left;-0.645396793;2;1194;pictures;0.04
alw;alwcla;left;-0.645396793;2;1194;static;0.95
alw;alwcla;left;-0.645396793;2;1194;dynamic;0.01
alw;alwcla;left;-0.051813693;3;467;pictures;0.01
alw;alwcla;left;-0.051813693;3;467;static;0.9
alw;alwcla;left;-0.051813693;3;467;dynamic;0.1
alw;alwcla;left;0.541769408;4;441;pictures;0.02
alw;alwcla;left;0.541769408;4;441;static;0.98
alw;alwcla;left;0.541769408;4;441;dynamic;0
alw;alwcla;left;1.135352509;5;276;pictures;0.03
alw;alwcla;left;1.135352509;5;276;static;0.97
alw;alwcla;left;1.135352509;5;276;dynamic;0
alw;alwcla;left;1.728935609;6;923;pictures;0.01
alw;alwcla;left;1.728935609;6;923;static;0.98
alw;alwcla;left;1.728935609;6;923;dynamic;0.01
alw;alwcla;middle;-1.238979894;1;2060;pictures;0.01
alw;alwcla;middle;-1.238979894;1;2060;static;0.7
alw;alwcla;middle;-1.238979894;1;2060;dynamic;0.29
alw;alwcla;middle;-0.645396793;2;1818;pictures;0.01
alw;alwcla;middle;-0.645396793;2;1818;static;0.96
alw;alwcla;middle;-0.645396793;2;1818;dynamic;0.04
alw;alwcla;middle;-0.051813693;3;1569;pictures;0
alw;alwcla;middle;-0.051813693;3;1569;static;0.85
alw;alwcla;middle;-0.051813693;3;1569;dynamic;0.15
alw;alwcla;middle;0.541769408;4;1100;pictures;0.07
alw;alwcla;middle;0.541769408;4;1100;static;0.84
alw;alwcla;middle;0.541769408;4;1100;dynamic;0.09
alw;alwcla;middle;1.135352509;5;1215;pictures;0.08
alw;alwcla;middle;1.135352509;5;1215;static;0.87
alw;alwcla;middle;1.135352509;5;1215;dynamic;0.04
alw;alwcla;middle;1.728935609;6;365;pictures;0.04
alw;alwcla;middle;1.728935609;6;365;static;0.89
alw;alwcla;middle;1.728935609;6;365;dynamic;0.07
alw;alwcla;right;-1.238979894;1;232;pictures;0.18
alw;alwcla;right;-1.238979894;1;232;static;0.7
alw;alwcla;right;-1.238979894;1;232;dynamic;0.12
alw;alwcla;right;-0.645396793;2;64;pictures;0.02
alw;alwcla;right;-0.645396793;2;64;static;0.94
alw;alwcla;right;-0.645396793;2;64;dynamic;0.05
alw;alwcla;right;-0.051813693;3;80;pictures;0
alw;alwcla;right;-0.051813693;3;80;static;0.99
alw;alwcla;right;-0.051813693;3;80;dynamic;0.01
alw;alwcla;right;0.541769408;4;330;pictures;0
alw;alwcla;right;0.541769408;4;330;static;0.82
alw;alwcla;right;0.541769408;4;330;dynamic;0.18
alw;alwcla;right;1.135352509;5;805;pictures;0.01
alw;alwcla;right;1.135352509;5;805;static;0.58
alw;alwcla;right;1.135352509;5;805;dynamic;0.41
alw;alwcla;right;1.728935609;6;69;pictures;0
alw;alwcla;right;1.728935609;6;69;static;0.74
alw;alwcla;right;1.728935609;6;69;dynamic;0.26
bac;bacnil;left;-1.238979894;1;564;pictures;0.01
bac;bacnil;left;-1.238979894;1;564;static;0.22
bac;bacnil;left;-1.238979894;1;564;dynamic;0.77
bac;bacnil;left;-0.645396793;2;435;pictures;0.26
bac;bacnil;left;-0.645396793;2;435;static;0.48
bac;bacnil;left;-0.645396793;2;435;dynamic;0.26
bac;bacnil;left;-0.051813693;3;79;pictures;0.2
bac;bacnil;left;-0.051813693;3;79;static;0.22
bac;bacnil;left;-0.051813693;3;79;dynamic;0.58
bac;bacnil;left;0.541769408;4;51;pictures;0.45
bac;bacnil;left;0.541769408;4;51;static;0.43
bac;bacnil;left;0.541769408;4;51;dynamic;0.12
bac;bacnil;left;1.135352509;5;20;pictures;0.55
bac;bacnil;left;1.135352509;5;20;static;0.25
bac;bacnil;left;1.135352509;5;20;dynamic;0.2
bac;bacnil;middle;-1.238979894;1;277;pictures;0.03
bac;bacnil;middle;-1.238979894;1;277;static;0.74
bac;bacnil;middle;-1.238979894;1;277;dynamic;0.23
bac;bacnil;middle;-0.645396793;2;270;pictures;0.04
bac;bacnil;middle;-0.645396793;2;270;static;0.79
bac;bacnil;middle;-0.645396793;2;270;dynamic;0.16
bac;bacnil;middle;-0.051813693;3;400;pictures;0.01
bac;bacnil;middle;-0.051813693;3;400;static;0.76
bac;bacnil;middle;-0.051813693;3;400;dynamic;0.23
bac;bacnil;middle;0.541769408;4;604;pictures;0
bac;bacnil;middle;0.541769408;4;604;static;0.48
bac;bacnil;middle;0.541769408;4;604;dynamic;0.51
bac;bacnil;middle;1.135352509;5;352;pictures;0.01
bac;bacnil;middle;1.135352509;5;352;static;0.74
bac;bacnil;middle;1.135352509;5;352;dynamic;0.24
bac;bacnil;right;-1.238979894;1;54;pictures;0.76
bac;bacnil;right;-1.238979894;1;54;static;0.13
bac;bacnil;right;-1.238979894;1;54;dynamic;0.11
bac;bacnil;right;-0.645396793;2;103;pictures;0.07
bac;bacnil;right;-0.645396793;2;103;static;0.81
bac;bacnil;right;-0.645396793;2;103;dynamic;0.13
bac;bacnil;right;-0.051813693;3;29;pictures;0.28
bac;bacnil;right;-0.051813693;3;29;static;0.59
bac;bacnil;right;-0.051813693;3;29;dynamic;0.14
bac;bacnil;right;0.541769408;4;130;pictures;0.4
bac;bacnil;right;0.541769408;4;130;static;0.58
bac;bacnil;right;0.541769408;4;130;dynamic;0.02
bac;bacnil;right;1.135352509;5;40;pictures;0.45
bac;bacnil;right;1.135352509;5;40;static;0.3
bac;bacnil;right;1.135352509;5;40;dynamic;0.25
cas;casear;left;-1.238979894;1;48;pictures;0.06
cas;casear;left;-1.238979894;1;48;static;0.77
cas;casear;left;-1.238979894;1;48;dynamic;0.17
cas;casear;left;-0.645396793;2;37;pictures;0.46
cas;casear;left;-0.645396793;2;37;static;0.51
cas;casear;left;-0.645396793;2;37;dynamic;0.03
cas;casear;left;-0.051813693;3;51;pictures;0
cas;casear;left;-0.051813693;3;51;static;0.98
cas;casear;left;-0.051813693;3;51;dynamic;0.02
cas;casear;left;0.541769408;4;89;pictures;0.11
cas;casear;left;0.541769408;4;89;static;0.63
cas;casear;left;0.541769408;4;89;dynamic;0.26
cas;casear;left;1.135352509;5;95;pictures;0.07
cas;casear;left;1.135352509;5;95;static;0.87
cas;casear;left;1.135352509;5;95;dynamic;0.05
cas;casear;left;1.728935609;6;84;pictures;0.13
cas;casear;left;1.728935609;6;84;static;0.87
cas;casear;left;1.728935609;6;84;dynamic;0
cas;casear;middle;-1.238979894;1;498;pictures;0.03
cas;casear;middle;-1.238979894;1;498;static;0.82
cas;casear;middle;-1.238979894;1;498;dynamic;0.15
cas;casear;middle;-0.645396793;2;554;pictures;0.02
cas;casear;middle;-0.645396793;2;554;static;0.78
cas;casear;middle;-0.645396793;2;554;dynamic;0.2
cas;casear;middle;-0.051813693;3;879;pictures;0.16
cas;casear;middle;-0.051813693;3;879;static;0.48
cas;casear;middle;-0.051813693;3;879;dynamic;0.35
cas;casear;middle;0.541769408;4;1026;pictures;0.05
cas;casear;middle;0.541769408;4;1026;static;0.58
cas;casear;middle;0.541769408;4;1026;dynamic;0.37
cas;casear;middle;1.135352509;5;491;pictures;0.17
cas;casear;middle;1.135352509;5;491;static;0.4
cas;casear;middle;1.135352509;5;491;dynamic;0.44
cas;casear;middle;1.728935609;6;211;pictures;0.45
cas;casear;middle;1.728935609;6;211;static;0
cas;casear;middle;1.728935609;6;211;dynamic;0.55
cas;casear;right;-1.238979894;1;82;pictures;0.38
