animal;group;session;selection_position;trial;selection;estimate
alw;alwcla;19126;left;1003;pictures;0
alw;alwcla;19126;left;1003;static;0,92
alw;alwcla;19126;left;1003;dynamic;0,08
alw;alwcla;19126;middle;1048;pictures;0,02
alw;alwcla;19126;middle;1048;static;0,78
alw;alwcla;19126;middle;1048;dynamic;0,2
alw;alwcla;19126;right;85;pictures;0,48
alw;alwcla;19126;right;85;static;0,22
alw;alwcla;19126;right;85;dynamic;0,29
alw;alwcla;19133;left;1193;pictures;0,05
alw;alwcla;19133;left;1193;static;0,67
alw;alwcla;19133;left;1193;dynamic;0,27
alw;alwcla;19133;middle;1012;pictures;0
alw;alwcla;19133;middle;1012;static;0,62
alw;alwcla;19133;middle;1012;dynamic;0,38
alw;alwcla;19133;right;147;pictures;0
alw;alwcla;19133;right;147;static;0,98
alw;alwcla;19133;right;147;dynamic;0,02
alw;alwcla;19140;left;1194;pictures;0,04
alw;alwcla;19140;left;1194;static;0,95
alw;alwcla;19140;left;1194;dynamic;0,01
alw;alwcla;19140;middle;1818;pictures;0,01
alw;alwcla;19140;middle;1818;static;0,96
alw;alwcla;19140;middle;1818;dynamic;0,04
alw;alwcla;19140;right;64;pictures;0,02
alw;alwcla;19140;right;64;static;0,94
alw;alwcla;19140;right;64;dynamic;0,05
alw;alwcla;19147;left;467;pictures;0,01
alw;alwcla;19147;left;467;static;0,9
alw;alwcla;19147;left;467;dynamic;0,1
alw;alwcla;19147;middle;1569;pictures;0
alw;alwcla;19147;middle;1569;static;0,85
alw;alwcla;19147;middle;1569;dynamic;0,15
alw;alwcla;19147;right;80;pictures;0
alw;alwcla;19147;right;80;static;0,99
alw;alwcla;19147;right;80;dynamic;0,01
alw;alwcla;19154;left;441;pictures;0,02
alw;alwcla;19154;left;441;static;0,98
alw;alwcla;19154;left;441;dynamic;0
alw;alwcla;19154;middle;1100;pictures;0,07
alw;alwcla;19154;middle;1100;static;0,84
alw;alwcla;19154;middle;1100;dynamic;0,09
alw;alwcla;19154;right;330;pictures;0
alw;alwcla;19154;right;330;static;0,82
alw;alwcla;19154;right;330;dynamic;0,18
alw;alwcla;19168;left;276;pictures;0,03
alw;alwcla;19168;left;276;static;0,97
alw;alwcla;19168;left;276;dynamic;0
alw;alwcla;19168;middle;1215;pictures;0,08
alw;alwcla;19168;middle;1215;static;0,87
alw;alwcla;19168;middle;1215;dynamic;0,04
alw;alwcla;19168;right;805;pictures;0,01
alw;alwcla;19168;right;805;static;0,58
alw;alwcla;19168;right;805;dynamic;0,41
alw;alwcla;19175;left;923;pictures;0,01
alw;alwcla;19175;left;923;static;0,98
alw;alwcla;19175;left;923;dynamic;0,01
alw;alwcla;19175;middle;365;pictures;0,04
alw;alwcla;19175;middle;365;static;0,89
alw;alwcla;19175;middle;365;dynamic;0,07
alw;alwcla;19175;right;69;pictures;0
alw;alwcla;19175;right;69;static;0,74
alw;alwcla;19175;right;69;dynamic;0,26
bac;bacnil;19126;left;5;pictures;0,2
bac;bacnil;19126;left;5;static;0,6
bac;bacnil;19126;left;5;dynamic;0,2
bac;bacnil;19126;middle;20;pictures;0,3
bac;bacnil;19126;middle;20;static;0,6
bac;bacnil;19126;middle;20;dynamic;0,1
bac;bacnil;19126;right;19;pictures;0,53
bac;bacnil;19126;right;19;static;0,26
bac;bacnil;19126;right;19;dynamic;0,21
bac;bacnil;19133;left;559;pictures;0,01
bac;bacnil;19133;left;559;static;0,21
bac;bacnil;19133;left;559;dynamic;0,78
bac;bacnil;19133;middle;257;pictures;0,01
bac;bacnil;19133;middle;257;static;0,75
bac;bacnil;19133;middle;257;dynamic;0,24
bac;bacnil;19133;right;35;pictures;0,89
bac;bacnil;19133;right;35;static;0,06
bac;bacnil;19133;right;35;dynamic;0,06
bac;bacnil;19136;left;435;pictures;0,26
bac;bacnil;19136;left;435;static;0,48
bac;bacnil;19136;left;435;dynamic;0,26
bac;bacnil;19136;middle;270;pictures;0,04
bac;bacnil;19136;middle;270;static;0,79
bac;bacnil;19136;middle;270;dynamic;0,16
bac;bacnil;19136;right;103;pictures;0,07
bac;bacnil;19136;right;103;static;0,81
bac;bacnil;19136;right;103;dynamic;0,13
bac;bacnil;19137;left;79;pictures;0,2
bac;bacnil;19137;left;79;static;0,22
bac;bacnil;19137;left;79;dynamic;0,58
bac;bacnil;19137;middle;400;pictures;0,01
bac;bacnil;19137;middle;400;static;0,76
bac;bacnil;19137;middle;400;dynamic;0,23
bac;bacnil;19137;right;29;pictures;0,28
bac;bacnil;19137;right;29;static;0,59
bac;bacnil;19137;right;29;dynamic;0,14
bac;bacnil;19138;left;51;pictures;0,45
bac;bacnil;19138;left;51;static;0,43
bac;bacnil;19138;left;51;dynamic;0,12
bac;bacnil;19138;middle;604;pictures;0
bac;bacnil;19138;middle;604;static;0,48
bac;bacnil;19138;middle;604;dynamic;0,51
bac;bacnil;19138;right;130;pictures;0,4
bac;bacnil;19138;right;130;static;0,58
bac;bacnil;19138;right;130;dynamic;0,02
bac;bacnil;19139;left;20;pictures;0,55
bac;bacnil;19139;left;20;static;0,25
bac;bacnil;19139;left;20;dynamic;0,2
bac;bacnil;19139;middle;352;pictures;0,01
bac;bacnil;19139;middle;352;static;0,74
bac;bacnil;19139;middle;352;dynamic;0,24
bac;bacnil;19139;right;40;pictures;0,45
bac;bacnil;19139;right;40;static;0,3
bac;bacnil;19139;right;40;dynamic;0,25
cas;casear;19063;left;31;pictures;0,03
cas;casear;19063;left;31;static;0,71
cas;casear;19063;left;31;dynamic;0,26
cas;casear;19063;middle;125;pictures;0,12
cas;casear;19063;middle;125;static;0,58
cas;casear;19063;middle;125;dynamic;0,3
cas;casear;19063;right;79;pictures;0,38
cas;casear;19063;right;79;static;0,39
cas;casear;19063;right;79;dynamic;0,23
cas;casear;19070;left;7;pictures;0,14
cas;casear;19070;left;7;static;0,86
cas;casear;19070;left;7;dynamic;0
cas;casear;19070;middle;129;pictures;0,1
cas;casear;19070;middle;129;static;0,53
cas;casear;19070;middle;129;dynamic;0,36
cas;casear;19070;right;15;pictures;0
cas;casear;19070;right;15;static;0,8
cas;casear;19070;right;15;dynamic;0,2
cas;casear;19077;left;17;pictures;0
cas;casear;19077;left;17;static;0,94
cas;casear;19077;left;17;dynamic;0,06
cas;casear;19077;middle;261;pictures;0,1
cas;casear;19077;middle;261;static;0,54
cas;casear;19077;middle;261;dynamic;0,35
cas;casear;19077;right;16;pictures;0,06
cas;casear;19077;right;16;static;0,88
cas;casear;19077;right;16;dynamic;0,06
cas;casear;19084;left;17;pictures;0,12
cas;casear;19084;left;17;static;0,88
cas;casear;19084;left;17;dynamic;0
cas;casear;19084;middle;373;pictures;0,01
cas;casear;19084;middle;373;static;0,9
cas;casear;19084;middle;373;dynamic;0,1
cas;casear;19084;right;3;pictures;0,33
cas;casear;19084;right;3;static;0,33
cas;casear;19084;right;3;dynamic;0,33
cas;casear;19091;left;30;pictures;0,53
cas;casear;19091;left;30;static;0,43
cas;casear;19091;left;30;dynamic;0,03
cas;casear;19091;middle;425;pictures;0
cas;casear;19091;middle;425;static;0,85
cas;casear;19091;middle;425;dynamic;0,15
cas;casear;19091;right;20;pictures;0,95
cas;casear;19091;right;20;static;0,05
cas;casear;19091;right;20;dynamic;0
cas;casear;19098;left;34;pictures;0
cas;casear;19098;left;34;static;1
cas;casear;19098;left;34;dynamic;0
cas;casear;19098;middle;618;pictures;0,19
cas;casear;19098;middle;618;static;0,46
cas;casear;19098;middle;618;dynamic;0,35
cas;casear;19098;right;14;pictures;0,43
cas;casear;19098;right;14;static;0
cas;casear;19098;right;14;dynamic;0,57
cas;casear;19105;left;89;pictures;0,11
cas;casear;19105;left;89;static;0,63
cas;casear;19105;left;89;dynamic;0,26
cas;casear;19105;middle;1026;pictures;0,05
cas;casear;19105;middle;1026;static;0,58
cas;casear;19105;middle;1026;dynamic;0,37
cas;casear;19105;right;3;pictures;0
cas;casear;19105;right;3;static;1
cas;casear;19105;right;3;dynamic;0
cas;casear;19112;left;95;pictures;0,07
cas;casear;19112;left;95;static;0,87
cas;casear;19112;left;95;dynamic;0,05
cas;casear;19112;middle;491;pictures;0,17
cas;casear;19112;middle;491;static;0,4
cas;casear;19112;middle;491;dynamic;0,44
cas;casear;19112;right;3;pictures;0
cas;casear;19112;right;3;static;1
cas;casear;19112;right;3;dynamic;0
cas;casear;19119;left;84;pictures;0,13
cas;casear;19119;left;84;static;0,87
cas;casear;19119;left;84;dynamic;0
cas;casear;19119;middle;211;pictures;0,45
cas;casear;19119;middle;211;static;0
cas;casear;19119;middle;211;dynamic;0,55
cas;casear;19119;right;2;pictures;0
cas;casear;19119;right;2;static;1
cas;casear;19119;right;2;dynamic;0
cla;alwcla;19126;left;250;pictures;0,39
cla;alwcla;19126;left;250;static;0,37
cla;alwcla;19126;left;250;dynamic;0,24
cla;alwcla;19126;middle;82;pictures;0,18
cla;alwcla;19126;middle;82;static;0,35
cla;alwcla;19126;middle;82;dynamic;0,46
cla;alwcla;19126;right;241;pictures;0,32
cla;alwcla;19126;right;241;static;0,12
cla;alwcla;19126;right;241;dynamic;0,56
cla;alwcla;19133;left;148;pictures;0,47
