animal;trials/session;total trials;r;p-value;adj_p
al;2206;13068;-0.65992;0.22553;1.0
cl;342;2229;0.60785;0.27679;1.0
ba;785;3364;-0.69787;0.30213;1.0
ni;468;1997;-0.38129;0.61871;1.0
ca;532;3538;0.1545;0.80407;1.0
ea;649;3937;-0.93629;0.01912;0.30588
cu;50;491;-0.22966;0.77034;1.0
pi;247;1119;-0.32058;0.67942;1.0
de;1059;6922;-0.00551;0.99299;1.0
el;1561;8992;-0.3965;0.50871;1.0
he;792;4203;0.50034;0.39062;1.0
lo;717;4057;-0.39525;0.51018;1.0
pa;228;1380;-0.15509;0.80333;1.0
sa;283;1697;0.49179;0.40008;1.0
na;66;436;0.05232;0.93342;1.0
vi;277;1588;-0.37635;0.53238;1.0
