animal;medianTimes;min;max
al;0.365412;0.124159;0.517414
ba;0.693749;0.242453;0.800226
ca;0.264863;0.126066;0.963757
cl;0.608876;0.288678;0.818482
cu;0.486664;0.08811;0.943213
de;0.542048;0.278086;0.781959
ea;0.762257;0.249084;0.870636
el;0.52366;0.126358;0.748629
he;0.58955;0.020102;0.930482
lo;0.472461;0.2883;0.678331
na;0.139988;0.019838;0.644573
ni;0.466197;0.252677;0.805464
pa;0.262896;0.139149;0.601988
pi;0.226127;0.111233;0.660254
sa;0.290493;0.101392;0.438667
vi;0.157668;0.112539;0.648917
