animal;selection;estimate;sd;lower_CI;upper_CI
al;static;0.91;0.07;0.71;0.98
al;dynamic;0.08;0.07;0.02;0.26
al;pictures;0.01;0.01;0.0;0.04
ba;static;0.43;0.17;0.14;0.8
ba;dynamic;0.37;0.15;0.11;0.67
ba;pictures;0.2;0.08;0.07;0.37
ca;static;0.64;0.16;0.27;0.9
ca;dynamic;0.32;0.15;0.08;0.67
ca;pictures;0.04;0.02;0.01;0.09
cl;static;0.44;0.16;0.14;0.74
cl;dynamic;0.41;0.14;0.15;0.7
cl;pictures;0.15;0.05;0.07;0.28
cu;static;0.48;0.16;0.17;0.79
cu;dynamic;0.25;0.12;0.07;0.53
cu;pictures;0.27;0.1;0.11;0.5
de;static;0.64;0.16;0.28;0.88
de;dynamic;0.22;0.12;0.06;0.5
de;pictures;0.14;0.06;0.05;0.29
ea;static;0.59;0.16;0.24;0.86
ea;dynamic;0.29;0.14;0.08;0.6
ea;pictures;0.12;0.05;0.04;0.23
el;static;0.85;0.11;0.55;0.97
el;dynamic;0.13;0.1;0.02;0.39
el;pictures;0.02;0.02;0.01;0.06
he;static;0.9;0.07;0.72;0.97
he;dynamic;0.06;0.05;0.01;0.18
he;pictures;0.04;0.03;0.01;0.11
lo;static;0.49;0.16;0.18;0.77
lo;dynamic;0.36;0.14;0.13;0.65
lo;pictures;0.15;0.05;0.07;0.28
na;static;0.73;0.16;0.32;0.93
na;dynamic;0.2;0.13;0.04;0.53
na;pictures;0.07;0.04;0.02;0.19
ni;static;0.25;0.15;0.06;0.63
ni;dynamic;0.64;0.15;0.29;0.87
ni;pictures;0.11;0.04;0.04;0.21
pa;static;0.58;0.16;0.24;0.84
pa;dynamic;0.29;0.13;0.09;0.59
pa;pictures;0.13;0.05;0.05;0.25
pi;static;0.67;0.15;0.31;0.91
pi;dynamic;0.28;0.14;0.07;0.61
pi;pictures;0.06;0.03;0.02;0.12
sa;static;0.3;0.14;0.08;0.62
sa;dynamic;0.66;0.14;0.34;0.89
sa;pictures;0.03;0.01;0.01;0.07
vi;static;0.85;0.11;0.53;0.97
vi;dynamic;0.11;0.09;0.02;0.37
vi;pictures;0.04;0.03;0.01;0.12
