size;speed;wHR
5;10;0.739
5;11;0.74
5;12;0.755
5;13;0.675
5;14;0.758
5;15;0.624
5;16;0.575
5;17;0.489
5;18;0.563
5;19;0.571
5;20;0.496
5;21;0.45
5;22;0.566
5;23;0.361
5;24;0.505
5;25;0.42
5;26;0.383
5;27;0.319
5;28;0.326
5;29;0.41
5;30;0.307
6;10;0.809
6;11;0.771
6;12;0.822
6;13;0.732
6;14;0.748
6;15;0.75
6;16;0.703
6;17;0.721
6;18;0.688
6;19;0.596
6;20;0.543
6;21;0.52
6;22;0.519
6;23;0.553
6;24;0.476
6;25;0.485
6;26;0.602
6;27;0.46
6;28;0.483
6;29;0.415
6;30;0.424
7;10;0.823
7;11;0.752
7;12;0.828
7;13;0.771
7;14;0.648
7;15;0.781
7;16;0.706
7;17;0.781
7;18;0.751
7;19;0.693
7;20;0.588
7;21;0.567
7;22;0.668
7;23;0.512
7;24;0.631
7;25;0.525
7;26;0.645
7;27;0.414
7;28;0.464
7;29;0.477
7;30;0.449
8;10;0.762
8;11;0.774
8;12;0.772
8;13;0.737
8;14;0.704
8;15;0.709
8;16;0.759
8;17;0.696
8;18;0.596
8;19;0.674
8;20;0.599
8;21;0.674
8;22;0.667
8;23;0.583
8;24;0.62
8;25;0.633
8;26;0.56
8;27;0.544
8;28;0.526
8;29;0.582
8;30;0.537
9;10;0.717
9;11;0.72
9;12;0.726
9;13;0.711
9;14;0.669
9;15;0.608
9;16;0.712
9;17;0.58
9;18;0.669
9;19;0.633
9;20;0.604
9;21;0.605
9;22;0.566
9;23;0.509
9;24;0.514
9;25;0.514
9;26;0.631
9;27;0.57
9;28;0.537
9;29;0.445
9;30;0.533
10;10;0.655
10;11;0.685
10;12;0.685
10;13;0.615
10;14;0.659
10;15;0.681
10;16;0.642
10;17;0.608
10;18;0.612
10;19;0.644
10;20;0.645
10;21;0.597
10;22;0.563
10;23;0.6
10;24;0.568
10;25;0.473
10;26;0.548
10;27;0.546
10;28;0.463
10;29;0.557
10;30;0.422
